Overall Rank	State	Code	Airport	Flights Per Year	Delays %	Canceled %	Avg. Delay (Mins)	Security Delay (Mins)
77	AK	KTN	Ketchikan International	2,203	11.1	1.2	8.3	0.34
78	TX	CLL	Easterwood Field	2,103	11.4	2.9	11.0	0.00
79	OR	EUG	Mahlon Sweet Field	4,639	15.0	1.8	14.3	0.00
80	CA	SAN	San Diego International	85,744	16.9	1.7	11.0	0.10
81	AR	LIT	Bill and Hillary Clinton Nat Adams Field	13,152	15.9	1.7	12.9	0.04
82	FL	ECP	Northwest Florida Beaches International	6,122	14.3	1.3	11.5	0.19
83	FL	EYW	Key West International	5,115	16.9	0.6	13.2	0.04
84	LA	AEX	Alexandria International	2,989	14.7	1.9	12.6	0.03
85	LA	LCH	Lake Charles Regional	1,819	12.8	2.7	11.1	0.00
86	TX	DRT	Del Rio International	661	14.2	1.4	12.5	0.00
87	IN	IND	Indianapolis International	44,994	15.7	2.0	12.5	0.07
88	AK	PSG	Petersburg James A Johnson	664	12.9	2.3	8.7	0.00
89	VA	LYH	Lynchburg Regional/Preston Glenn Field	823	10.0	1.9	7.1	0.07
90	FL	TPA	Tampa International	69,352	18.0	1.5	13.7	0.04
91	AL	HSV	Huntsville International-Carl T Jones Field	8,908	15.0	2.2	12.9	0.04
92	FL	RSW	Southwest Florida International	30,645	17.7	1.3	15.0	0.02
93	TX	SJT	San Angelo Regional/Mathis Field	1,715	12.9	2.2	9.2	0.05
94	AK	SIT	Sitka Rocky Gutierrez	1,258	10.4	1.1	7.7	1.92
95	PA	AVP	Wilkes Barre Scranton International	3,298	13.9	2.2	13.1	0.02
96	FL	JAX	Jacksonville International	31,281	15.9	1.8	13.1	0.08
97	NV	LAS	McCarran International	150,794	19.7	1.3	13.1	0.05
98	TN	CHA	Lovell Field	8,245	16.4	1.7	14.7	0.01
99	TX	HRL	Valley International	4,125	15.3	2.5	12.6	0.00
100	WA	PAE	Snohomish County	1,444	15.1	1.5	14.0	0.01
101	DC	IAD	Washington Dulles International	63,427	15.7	1.5	15.5	0.07
102	FL	PNS	Pensacola International	11,586	16.0	1.9	13.0	0.05
103	MI	MBS	MBS International	2,345	11.4	2.8	13.5	0.00
104	WI	MKE	General Mitchell International	28,380	15.9	2.2	12.3	0.06
105	TN	MEM	Memphis International	23,652	16.5	2.0	13.7	0.03
106	FL	SRQ	Sarasota/Bradenton International	7,430	17.6	1.0	15.0	0.02
107	TN	TYS	McGhee Tyson	16,569	16.3	1.7	14.6	0.04
108	TX	MAF	Midland International Air and Space Port	8,788	15.0	2.8	12.4	0.04
109	MT	WYS	Yellowstone	264	9.5	0.0	19.3	0.00
110	AZ	PHX	Phoenix Sky Harbor International	159,928	18.8	1.4	12.1	0.13
111	AR	TXK	Texarkana Regional-Webb Field	1,152	12.3	3.4	10.2	0.00
112	CA	BUR	Bob Hope	29,239	16.1	3.5	10.9	0.04
113	TX	BRO	Brownsville South Padre Island International	2,495	12.8	2.6	13.6	0.01
114	CA	LAX	Los Angeles International	201,287	18.5	1.3	12.7	0.15
115	AK	OTZ	Ralph Wien Memorial	660	9.8	3.9	6.4	0.00
116	AK	GST	Gustavus Airport	82	11.0	0.0	6.2	1.00
117	CA	SMX	Santa Maria Public/Capt. G. Allan Hancock Field	177	16.9	0.0	12.1	0.00
118	TX	AUS	Austin – Bergstrom International	61,222	17.6	1.5	13.5	0.08
