2022 Rank,Airport,ICAO,2022 Enplaned Passengers,2022 Originating Domestic Passengers,Latitude,Longitude,Elevation,Flights Per Year,Delays,Canceled,Avg. Delay (Mins),Security Delay (Mins)
1,ATL,KATL,45372100.0,1088364,32.896801,-97.038002,607,"362,713",0.168,0.006999999999999999,11.1,0.06
2,DFW,KDFW,35329400.0,859264,39.861698150635,-104.672996521,5431,"278,828",0.223,0.027999999999999997,15.7,0.03
3,DEN,KDEN,33749900.0,1138192,41.9786,-87.9048,672,"230,693",0.226,0.02,16.0,0.04
4,ORD,KORD,33100400.0,1085583,33.942501,-118.407997,125,"312,159",0.228,0.033,17.6,0.02
5,LAX,KLAX,32271400.0,1324394,40.639801,-73.7789,13,"201,287",0.185,0.013000000000000001,12.7,0.15
6,JFK,KJFK,26923300.0,763958,36.08010101,-115.1520004,2181,"116,695",0.18600000000000003,0.017,15.8,0.12
7,LAS,KLAS,25264700.0,829770,28.429399490356445,-81.30899810791016,96,"150,794",0.19699999999999998,0.013000000000000001,13.1,0.05
8,MCO,KMCO,24431300.0,925518,25.79319953918457,-80.29060363769531,8,"130,016",0.215,0.018000000000000002,16.7,0.43
9,MIA,KMIA,23673000.0,537910,35.2140007019043,-80.94309997558594,748,"80,840",0.192,0.013000000000000001,14.1,0.1
10,CLT,KCLT,23085500.0,409225,47.449001,-122.308998,433,"215,748",0.195,0.017,13.6,0.19
11,SEA,KSEA,22113500.0,908387,33.435302,-112.005905,1135,"130,541",0.16699999999999998,0.009000000000000001,10.7,0.07
12,PHX,KPHX,21791000.0,868167,40.692501,-74.168701,18,"159,928",0.188,0.013999999999999999,12.1,0.13
13,EWR,KEWR,21538400.0,919009,37.61899948120117,-122.375,13,"124,520",0.249,0.027000000000000003,21.0,0.06
14,SFO,KSFO,20401800.0,820323,29.984399795532227,-95.34140014648438,97,"156,897",0.214,0.021,15.9,0.08
15,IAH,KIAH,19799400.0,606033,42.3643,-71.005203,20,"164,466",0.193,0.015,15.7,0.03
